Step,F1_Score,SSIM,FID,LPIPS
42,0.9833720326423645,0.9985280632972717,3.0360636711120605,0.006242451723664999
85,0.9659314751625061,0.997970700263977,6.3176774978637695,0.010562996380031109
128,0.968782365322113,0.9982190728187561,5.802527904510498,0.009449332021176815
171,0.9769439101219177,0.998397946357727,4.264958381652832,0.007035754155367613
214,0.9795322418212891,0.9983983635902405,3.767120599746704,0.006857657805085182
257,0.981988251209259,0.9984461665153503,3.2968368530273438,0.00655882665887475
300,0.9759118556976318,0.9983100295066833,4.454726219177246,0.0074551464058458805
343,0.9786345958709717,0.9983516931533813,3.935753583908081,0.007223006337881088
386,0.9759930968284607,0.99826979637146,4.435471534729004,0.007810606621205807
429,0.9774916172027588,0.99837327003479,4.15753698348999,0.0069291540421545506
472,0.9736889004707336,0.9981950521469116,4.869075298309326,0.008136246353387833
515,0.9707607626914978,0.9981100559234619,5.418299674987793,0.00855290424078703
558,0.9762886166572571,0.9982944130897522,4.381110668182373,0.00701600918546319
601,0.9827955365180969,0.998528778553009,3.148056983947754,0.005596577189862728
644,0.9737866520881653,0.9981464147567749,4.846005439758301,0.008406450971961021
687,0.9793449640274048,0.9984273314476013,3.805913209915161,0.006164629012346268
730,0.9829071164131165,0.9984645843505859,3.120366096496582,0.005684622097760439
773,0.9756831526756287,0.9983189105987549,4.499319553375244,0.006830005906522274
816,0.9765051007270813,0.998401403427124,4.349428176879883,0.006813437212258577
859,0.9735313057899475,0.998321533203125,4.910608291625977,0.00769613403826952
902,0.9757684469223022,0.9983682632446289,4.487508773803711,0.006797906011343002
945,0.9763963222503662,0.9983434677124023,4.364969730377197,0.006939359474927187
988,0.9782955050468445,0.998286783695221,3.9950029850006104,0.007250156719237566
1031,0.9815990328788757,0.9984481930732727,3.372413396835327,0.0062003605999052525
1074,0.9778591394424438,0.9982679486274719,4.077199459075928,0.007053551264107227
1117,0.977956235408783,0.9982892274856567,4.060490608215332,0.007152433041483164
1160,0.9747545719146729,0.9981890916824341,4.665073394775391,0.00803246721625328
1203,0.9759885668754578,0.9983475208282471,4.44346809387207,0.006844616960734129
1246,0.9764312505722046,0.9983493089675903,4.358801364898682,0.006694295443594456
1289,0.9822252988815308,0.9985049366950989,3.256411552429199,0.005585289094597101
1332,0.9851910471916199,0.9984999299049377,2.6793997287750244,0.00535550806671381
1375,0.9791167974472046,0.9983559846878052,3.843273162841797,0.00659859087318182
1418,0.9809743762016296,0.998440682888031,3.4925692081451416,0.006048215087503195
1461,0.9840226769447327,0.9984596967697144,2.903125762939453,0.005478620063513517
1504,0.9834778904914856,0.9985182285308838,3.0145809650421143,0.005263477563858032
