mask_pixels,outside_changed_pixels,pfpr_pct,detector_fpr_pct,artifact_recall,std_ratio,variance_ratio,ks_statistic,ks_p_iid_descriptive,sobel_jump,ppsnr_db,pssim,edge_l1,perfect_reconstruction,image,method,case,outside_overlay_changed_pixels,nonoverlay_frame_change_pct,tissue_gain_geometry_pct,status
1484,0,,,1.0,1.1334293542406575,1.284662101054394,0.19810018620519027,3.264701986795299e-34,4.121371449621671,24.90261899954886,0.9011129291627001,,False,images_ALWI_001.png,telea_bbox,0,539,0.10403577749854755,0.0,ungated_research
645,0,,,1.0,0.882714663275655,0.779185176761853,0.33985565356856456,6.3273786883313885e-55,4.6215858480726615,39.82456883581838,0.9861472871816236,,False,images_ALWI_001.png,telea_stroke,0,0,0.0,56.53638814016173,ungated_research
645,0,,,1.0,0.8841670461815667,0.7817513655534367,0.33691526329858323,5.828716040986283e-54,4.866033308259598,39.34932795878359,0.9845847342963643,,False,images_ALWI_001.png,acoustic_telea,0,0,0.0,56.53638814016173,ungated_research
193,0,,,0.10232558139534884,0.6373509341131033,0.4062162132148453,0.4831988220422565,5.558901450679441e-36,99.03813788974507,7.104127564379335,0.08565559901683621,,False,images_ALWI_001.png,detector_acoustic_telea,0,127,0.024513068167561297,86.9946091644205,ungated_research
193,0,,,0.10232558139534884,0.16248599130271218,0.02640169736962506,0.9535299374441466,2.424474284055958e-220,314.30755614246146,6.283711511194335,0.0234080256708141,,False,images_ALWI_001.png,selective_production,0,0,0.0,86.9946091644205,abstained
645,0,,,1.0,0.8712165674203868,0.7590183073477613,0.3620689655172414,1.625925256306109e-62,6.11087539103392,38.39379842630229,0.842116067459095,,False,images_ALWI_001.png,ffc_finetuned,0,0,0.0,56.53638814016173,ungated_research
645,0,,,1.0,0.8712165674203868,0.7590183073477613,0.3620689655172414,1.625925256306109e-62,6.11087539103392,38.39379842630229,0.842116067459095,,False,images_ALWI_001.png,ffc_acoustic,0,0,0.0,56.53638814016173,ungated_research
1202,0,,,1.0,0.9365092474512571,0.8770495705617198,0.23201861226296205,5.237788004325329e-40,5.274295356196649,30.730616984628124,0.9404250746516962,,False,images_ALWI_002.png,telea_bbox,1,315,0.06079449722950791,0.0,ungated_research
597,0,,,1.0,0.8904331391266379,0.7928711752549185,0.3219809509836286,1.0599687110412661e-45,7.083995966376366,34.695678564326435,0.9793026751587293,,False,images_ALWI_002.png,telea_stroke,1,0,0.0,50.33277870216306,ungated_research
597,0,,,1.0,0.8934723816520956,0.7982928967750681,0.3219809509836286,1.0599687110412661e-45,7.371845511182749,34.35300785542093,0.9770075079134024,,False,images_ALWI_002.png,acoustic_telea,1,0,0.0,50.33277870216306,ungated_research
391,0,,,0.07705192629815745,0.49409054523075013,0.24412546688641995,0.5663214592843022,1.2521869030139088e-95,61.42306315099129,6.884958605461139,0.10072729505167567,,False,images_ALWI_002.png,detector_acoustic_telea,1,345,0.0665844493466039,67.47088186356073,ungated_research
391,0,,,0.07705192629815745,0.15605775684223802,0.02435402347063109,0.9369931378665003,0.0,181.83516095868103,6.39378389366858,0.035027498264971035,,False,images_ALWI_002.png,selective_production,1,0,0.0,67.47088186356073,abstained
597,0,,,1.0,0.853402195524391,0.7282953073258509,0.38321167883211676,3.138604149879501e-65,9.737212379854494,33.13674224469845,0.8092973171589783,,False,images_ALWI_002.png,ffc_finetuned,1,0,0.0,50.33277870216306,ungated_research
597,0,,,1.0,0.853402195524391,0.7282953073258509,0.38321167883211676,3.138604149879501e-65,9.737212379854494,33.13674224469845,0.8092973171589783,,False,images_ALWI_002.png,ffc_acoustic,1,0,0.0,50.33277870216306,ungated_research
1316,0,,,1.0,1.0167492355708658,1.03377900803394,0.10868348816955403,1.8212319051950898e-09,6.478796285558974,33.864564851889895,0.863761091608489,,False,images_ALWI_005.png,telea_bbox,2,681,0.13143800121594626,0.0,ungated_research
621,0,,,1.0,0.9396492732715449,0.8829407567597425,0.24581761918576545,2.6344207474009034e-27,7.07102786715483,36.499074583462146,0.928825564257342,,False,images_ALWI_005.png,telea_stroke,2,0,0.0,52.81155015197568,ungated_research
621,0,,,1.0,0.9395010970651633,0.8826623113866453,0.2408323377786427,3.2593029114518746e-26,7.3372457987847435,35.90686462890035,0.9174788539368445,,False,images_ALWI_005.png,acoustic_telea,2,0,0.0,52.81155015197568,ungated_research
141,0,,,0.11594202898550725,0.7417533133122993,0.5501979778097741,0.5213112933894047,6.952550337744823e-32,105.74128556962675,8.336237026702202,0.0482025555138663,,False,images_ALWI_005.png,detector_acoustic_telea,2,69,0.013317506731131119,89.28571428571429,ungated_research
141,0,,,0.11594202898550725,0.1836341796175271,0.033721511923802204,0.9735812133072407,4.151697211384604e-196,359.81052662801505,7.118735696302451,0.012975754896443193,,False,images_ALWI_005.png,selective_production,2,0,0.0,89.28571428571429,abstained
621,0,,,1.0,0.9567178960471033,0.915309132616796,0.2750193555052222,3.4963649229563616e-34,9.007401284614295,37.36060805680089,0.9330533347140885,,False,images_ALWI_005.png,ffc_finetuned,2,0,0.0,52.81155015197568,ungated_research
621,0,,,1.0,0.956189139091851,0.9142976697172152,0.2750193555052222,3.4963649229563616e-34,9.069872985466965,37.22737667361481,0.9316124443152538,,False,images_ALWI_005.png,ffc_acoustic,2,0,0.0,52.81155015197568,ungated_research
