mask_pixels,outside_changed_pixels,pfpr_pct,detector_fpr_pct,artifact_recall,std_ratio,variance_ratio,ks_statistic,ks_p_iid_descriptive,sobel_jump,ppsnr_db,pssim,edge_l1,perfect_reconstruction,image,method,case,outside_overlay_changed_pixels,nonoverlay_frame_change_pct,tissue_gain_geometry_pct,status
1265,0,,,1.0,0.7334639655336954,0.537969388736414,0.1609798171468001,7.970698325383173e-20,10.478612154990184,27.197161897741605,0.7316211519839247,,False,Images_bus_0004-r.png,telea_bbox,0,630,0.5972582999943118,0.0,ungated_research
609,0,,,1.0,0.8152239742936099,0.6645901282630684,0.1563425261497485,4.695929047305171e-11,11.69076763023397,32.03263484901911,0.8831830719974022,,False,Images_bus_0004-r.png,telea_stroke,0,0,0.0,51.85770750988142,ungated_research
609,0,,,1.0,0.8194672176235918,0.671526520759751,0.15829486831387457,2.5330919349377243e-11,11.894273718034265,31.772797842144684,0.8769261596722245,,False,Images_bus_0004-r.png,acoustic_telea,0,0,0.0,51.85770750988142,ungated_research
90,0,,,0.1477832512315271,1.2680474832204085,1.6079444197016122,0.9175675675675675,3.888302386278211e-87,152.2003282964857,9.475875023015393,0.06541050256658049,,False,Images_bus_0004-r.png,detector_acoustic_telea,0,0,0.0,92.88537549407114,ungated_research
90,0,,,0.1477832512315271,0.6720965312653809,0.4517137473389572,1.0,0.0,505.96359639418705,7.274240561134908,0.03299579181896859,,False,Images_bus_0004-r.png,selective_production,0,0,0.0,92.88537549407114,abstained
609,0,,,1.0,0.8186582927842853,0.6702014003444805,0.10122441591352807,7.065924458625643e-05,14.294998264580366,31.678969418701392,0.8669353766800411,,False,Images_bus_0004-r.png,ffc_finetuned,0,0,0.0,51.85770750988142,ungated_research
609,0,,,1.0,0.8282477552769841,0.685994344121363,0.1030345344762939,4.882912801066669e-05,14.754928618319253,31.318539805636995,0.8562231344303746,,False,Images_bus_0004-r.png,ffc_acoustic,0,0,0.0,51.85770750988142,ungated_research
1208,0,,,1.0,0.9221270383889392,0.8503182749279561,0.06951648400950133,0.0006225016446928997,16.372779731463545,21.665140946745538,0.6337796132766214,,False,Images_bus_0013-r.png,telea_bbox,1,591,0.5541334983544767,0.0,ungated_research
597,0,,,1.0,0.7022652111254378,0.49317642675705575,0.11639688116096705,3.1470223760929356e-06,17.412624778575683,27.956554881053872,0.8394596466957479,,False,Images_bus_0013-r.png,telea_stroke,1,0,0.0,50.5794701986755,ungated_research
597,0,,,1.0,0.7191776670776403,0.5172165168232372,0.11122352173848593,1.0052031463933341e-05,17.974951002278456,27.623062832120297,0.8296599351674091,,False,Images_bus_0013-r.png,acoustic_telea,1,0,0.0,50.5794701986755,ungated_research
82,0,,,0.1373534338358459,0.7612576098545131,0.579513148561406,0.8224431818181818,7.994632875050567e-55,147.0891892506066,9.007635755026653,0.06595190332465369,,False,Images_bus_0013-r.png,detector_acoustic_telea,1,0,0.0,93.21192052980133,ungated_research
82,0,,,0.1373534338358459,0.48498291757926365,0.23520843034369485,1.0,0.0,480.56165378593874,7.108468968931069,0.010468263886751044,,False,Images_bus_0013-r.png,selective_production,1,0,0.0,93.21192052980133,abstained
597,0,,,1.0,0.6715670147259928,0.4510022552679818,0.14724248084078206,1.0208371490750755e-09,21.170745178045348,30.95736083765178,0.8951490239629918,,False,Images_bus_0013-r.png,ffc_finetuned,1,0,0.0,50.5794701986755,ungated_research
597,0,,,1.0,0.6919661459140649,0.47881714709116496,0.14754821304160926,9.337427814770368e-10,23.14637874505167,30.416615459288465,0.8786342575364963,,False,Images_bus_0013-r.png,ffc_acoustic,1,0,0.0,50.5794701986755,ungated_research
1260,0,,,1.0,1.0233539366929867,1.0472532797450333,0.15833794758213363,2.181502988382846e-19,10.680832339122633,26.532001761092765,0.6859867713404758,,False,malignant_malignant (1).png,telea_bbox,2,618,0.2306891184166813,0.0,ungated_research
609,0,,,1.0,0.9295587440559455,0.8640794586508669,0.1721058000608865,2.1500162246311562e-13,13.312441301405086,29.283063819646557,0.8448145394769322,,False,malignant_malignant (1).png,telea_stroke,2,0,0.0,51.66666666666666,ungated_research
609,0,,,1.0,0.9307110378061723,0.8662230358942422,0.1721058000608865,2.1500162246311562e-13,13.798597727411975,29.141013369644373,0.8376291980998558,,False,malignant_malignant (1).png,acoustic_telea,2,0,0.0,51.66666666666666,ungated_research
346,0,,,0.1986863711001642,0.8534495782711098,0.7283761826511351,0.260728448647732,4.034869478076312e-18,190.87302430897893,11.523615814037242,0.23834027337733504,,False,malignant_malignant (1).png,detector_acoustic_telea,2,225,0.0839887567051024,72.53968253968253,ungated_research
346,0,,,0.1986863711001642,0.1412530702197778,0.019952429846513475,0.9346371590324241,0.0,348.52656569387733,9.473032801572002,0.1088231327882628,,False,malignant_malignant (1).png,selective_production,2,0,0.0,72.53968253968253,abstained
609,0,,,1.0,1.0357259386426023,1.0727282199770996,0.1277470872700363,1.472136957577604e-07,17.20637768365285,31.626021674424972,0.9057157746424503,,False,malignant_malignant (1).png,ffc_finetuned,2,0,0.0,51.66666666666666,ungated_research
609,0,,,1.0,1.0371959630711465,1.075775465811083,0.12610505114524156,2.2404033416067832e-07,17.440550914783,31.524671976529252,0.9018412034299299,,False,malignant_malignant (1).png,ffc_acoustic,2,0,0.0,51.66666666666666,ungated_research
1388,0,,,1.0,0.8307486094696127,0.690143252135695,0.050272604112174185,0.017817406264647645,9.064852411240027,29.81045915977708,0.7747256677286823,,False,malignant_malignant (100).png,telea_bbox,3,706,0.26691972370405936,0.0,ungated_research
633,0,,,1.0,0.7683477816589913,0.590358313580293,0.11670616113744077,1.3638030080674582e-06,10.126348825368982,32.928856404199216,0.893095998060507,,False,malignant_malignant (100).png,telea_stroke,3,0,0.0,54.39481268011528,ungated_research
633,0,,,1.0,0.7740800728971472,0.5991999592564528,0.12014351889040618,5.834465812154615e-07,10.50878451123176,32.586687157694946,0.8842673220010033,,False,malignant_malignant (100).png,acoustic_telea,3,0,0.0,54.39481268011528,ungated_research
544,0,,,0.14218009478672985,0.5925456197455254,0.3511103114796088,0.39551539955604886,1.1618280308550678e-66,83.78494296975782,9.621109421401929,0.07485475845566031,,False,malignant_malignant (100).png,detector_acoustic_telea,3,454,0.17164526141875772,60.80691642651297,ungated_research
544,0,,,0.14218009478672985,0.16832824195955368,0.028334397041194045,0.9419221698113207,0.0,218.25352143148461,7.606503000996364,0.031357327073737666,,False,malignant_malignant (100).png,selective_production,3,0,0.0,60.80691642651297,abstained
633,0,,,1.0,0.8156805183353353,0.6653347079918013,0.07920314884729696,0.0028728568715821437,12.64500715606102,33.33860179372354,0.8979455230314405,,False,malignant_malignant (100).png,ffc_finetuned,3,0,0.0,54.39481268011528,ungated_research
633,0,,,1.0,0.8200840284205442,0.6725378136704679,0.07762337001633324,0.0037178054222769524,12.853977676136426,33.15260147518683,0.8935217550129511,,False,malignant_malignant (100).png,ffc_acoustic,3,0,0.0,54.39481268011528,ungated_research
