mask_coverage_pct,tissue_preservation_gain_pct,ssim_outside_mask,boundary_gradient_mean,speckle_variance_ratio,glcm_contrast_diff,image,method
3.2227,0.0,0.995772,39.07,0.7239,0.4802,bus_0002-l.png,1. Baseline BBox
1.4205,55.92,0.989428,45.72,0.7842,0.4703,bus_0002-l.png,2. Trazo Simple
1.4205,55.92,0.988782,51.34,0.8638,0.468,bus_0002-l.png,3. Híbrido Propuesto
4.4682,0.0,0.996018,30.66,0.852,0.4238,bus_0003-l.png,1. Baseline BBox
2.0205,54.78,0.984068,48.19,0.7866,0.4125,bus_0003-l.png,2. Trazo Simple
2.0205,54.78,0.983154,55.37,0.8705,0.4113,bus_0003-l.png,3. Híbrido Propuesto
0.4121,0.0,0.999722,62.38,0.4409,1.2209,bus_0003-r.png,1. Baseline BBox
0.1423,65.48,0.999126,55.38,0.5097,1.3636,bus_0003-r.png,2. Trazo Simple
0.1423,65.48,0.999067,58.01,0.5602,1.368,bus_0003-r.png,3. Híbrido Propuesto
4.0575,0.0,0.991511,40.06,0.8402,0.4642,bus_0008-l.png,1. Baseline BBox
2.0631,49.16,0.983322,54.4,0.6757,0.4533,bus_0008-l.png,2. Trazo Simple
2.0631,49.16,0.982862,60.32,0.7024,0.4507,bus_0008-l.png,3. Híbrido Propuesto
4.9631,0.0,0.9926,39.34,0.9307,0.0997,bus_0018-s.png,1. Baseline BBox
3.3183,33.14,0.986206,44.54,0.8357,0.0776,bus_0018-s.png,2. Trazo Simple
3.3183,33.14,0.985324,48.65,0.8605,0.0767,bus_0018-s.png,3. Híbrido Propuesto
5.315,0.0,0.993814,48.13,0.9043,0.3085,bus_0019-l.png,1. Baseline BBox
3.1761,40.24,0.986223,53.38,0.8864,0.2867,bus_0019-l.png,2. Trazo Simple
3.1761,40.24,0.985338,56.88,0.9336,0.2846,bus_0019-l.png,3. Híbrido Propuesto
1.6197,0.0,0.999163,62.02,0.7345,0.1638,bus_0019-r.png,1. Baseline BBox
1.4123,12.81,0.998928,60.57,0.7489,0.1197,bus_0019-r.png,2. Trazo Simple
1.4123,12.81,0.998889,62.67,0.7758,0.106,bus_0019-r.png,3. Híbrido Propuesto
2.6322,0.0,0.994483,42.4,0.8398,0.4467,bus_0020-l.png,1. Baseline BBox
1.5023,42.93,0.990026,53.81,0.7609,0.4265,bus_0020-l.png,2. Trazo Simple
1.5023,42.93,0.989241,58.43,0.8016,0.4206,bus_0020-l.png,3. Híbrido Propuesto
3.829,0.0,0.991985,36.93,0.9929,0.2038,bus_0027-l.png,1. Baseline BBox
2.3425,38.82,0.987368,48.38,0.9669,0.1881,bus_0027-l.png,2. Trazo Simple
2.3425,38.82,0.986752,50.34,1.0024,0.1873,bus_0027-l.png,3. Híbrido Propuesto
2.6871,0.0,0.997501,20.18,0.8177,5.2629,bus_0038-s.png,1. Baseline BBox
1.2391,53.89,0.989945,57.09,0.6856,6.4701,bus_0038-s.png,2. Trazo Simple
1.2391,53.89,0.989724,63.81,0.7091,6.4347,bus_0038-s.png,3. Híbrido Propuesto
